"ID","Código interno","Puesto","Empresa","Fecha","Ubicación","Salario","Tipo de trabajo","Turno","Resumen","Atributos"
"0","job_23f543fceb7c9a5f","Profesor/a Primaria Matemáticas y Lengua (Sustitución)","INSTITUCIÓN EDUCATIVA SEK","Posted\nRecién publicado","28707 Ciudalcampo, Madrid provincia\n+1 ubicación","","Contrato de relevo","","El Colegio Internacional SEK Ciudalcampo necesita incorporar de forma inmediata un/a profesor/a de primaria cubrir una baja por IT hasta final de curso…","Grado;Incorporación inmediata;"
"1","job_60208a39a79e6477","Profesores de Historia, Geografía y Antropología","CornerJob","Posted\nRecién publicado","Madrid, Madrid provincia","","","","Determina tu propia tarifa por clase.\nEscoge el horario y la ubicación de tus clases (en tu domicilio, domicilio del alumno o en línea).",""
"2","job_2f6eec5ecea354ed","DOCENTE DE SECUNDARIA GEOGRAFÍA E HISTORIA","Colegios RC","Posted\nRecién publicado","Madrid, Madrid provincia","","Jornada completa\n+1","","En España está compuesta por siete colegios y una Universidad.","Máster;Grado;"
"3","job_dd58c25b81ea53b2","Docente De Informática","Aspasia","Posted\nRecién publicado","28020 Madrid, Madrid provincia","De 20 € a 25 € por hora","","","Experieica comodocente 600 horas o capacitacion.",""
"4","job_55029417c55246ca","Profesores de Guitarra, Piano, Violín","CornerJob","Posted\nRecién publicado","Madrid, Madrid provincia","","","","Capacidad de enseñanza asi como de adaptación a cada alumno.\nDetermina tu propia tarifa por clase.\nEscoge el horario y la ubicación de tus clases (en tu…",""
"5","job_e5c4733b92cf1e41","Tutor/a en Photoshop y Fotografía -online-","CornerJob","Posted\nRecién publicado","Madrid, Madrid provincia","","","","Desde Apprentus buscamos tutores/as, profesores/as para impartir cursos, tutorías online y a domicilio, segun requerimiento, a estudiantes /usuarios de todas…",""
"6","job_0cff6e3d389179bd","Profesores de Economía, Finanzas, Contabilidad","CornerJob","Posted\nRecién publicado","Madrid, Madrid provincia","","Trabajo para estudiantes","Disponibilidad fin de semana","Determina tu propia tarifa por clase.\nEscoge el horario y la ubicación de tus clases (en tu domicilio, domicilio del alumno o en línea).",""
"7","job_510718a6a4e49766","Profesora de lengua y literatura y alemán","Colegio Mater Clementissima","Posted\nRecién publicado","Madrid, Madrid provincia","De 18.000 € a 21.000 € al año","Media jornada\n+1","","Necesitamos un profesor/a para dar Lengua y Literatura y Alemán en Secundaria.\nPROFESORA DE LENGUA Y LITERATURA Y ALEMÁN.","Máster;ESO;"
"8","job_891f66b93d4ed166","DOCENTE FRANCÉS SECUNDARIA Y BACHILLERATO","Colegios RC","Posted\nRecién publicado","Madrid, Madrid provincia","","Jornada completa\n+1","","En España está compuesta por siete colegios y una Universidad.\nOfrecemos un contrato temporal a tiempo completo para cubrir una baja maternal durante el 1er…","Máster;Grado;"
"9","job_9ce56bbf0a179b2d","Solar Resource Specialist","Enel","Posted\nRecién publicado","Trabajo remoto híbrido in Madrid, Madrid provincia","","Jornada completa\n+1","","Diseño en planta (layout) y optimización de proyectos solares para iniciativas greenfield, concursos, Due Diligences y adquisiciones, desde el punto de vista de…","Teletrabajo parcial;Máster;Grado;"
"10","job_2cf01b3f54ade749","Educador/a pel servei ocell de foc (barcelonès nord)","Casal dels Infants, acció social als barris","Posted\nRecién publicado","Barcelona, Barcelona provincia\n+1 ubicación","De 18.001 € a 24.000 € al año","Jornada completa","","Titulació universitària en Educació Social, Treball Social, Magisteri, Pedagogia, Psicopedagogia o altres estudis equivalents del camp social.",""
"11","job_4cb566f272d1ed8c","English Teacher - Summer Fun Weeks","Kids&Us","Posted\nRecién publicado","08110 Montcada i Reixac, Barcelona provincia","","","","Well organized with good time management skills.\nFlexibility with work hours and availability.\nWe will train you in the use of our teaching method for children…",""
"12","job_648f82109f70ab3a","Apasionado/a de la educación matemática","Innovamat","Posted\nRecién publicado","08174 Sant Cugat del Vallès, Barcelona provincia","","Jornada completa","","Innovamat es una propuesta curricular desde la etapa Infantil hasta la etapa Secundaria (K-8) que democratiza el aprendizaje de las matemáticas.","Grado;"
"13","job_cb99d5d9b7357f83","Docente para Técnico Superior en Automoción","FORMACIÓN UNIVERSITARIA, S.A.","Posted\nRecién publicado","En remoto","","Contrato indefinido","","Se valorará Master o Doctorado en el área y el manejo de campus o plataformas virutales.\nSe precisa experiencia en formación o tutorización de programas…","Doctorado;Máster;"
"14","job_1c34963c48326f81","Tutor/a Hipotecario/a (Madrid)","Ilunion Capital Humano","Posted\nRecién publicado","Teletrabajo in Madrid provincia","De 15.000 € a 16.000 € al año","Jornada completa","De lunes a viernes\n+1","Ilunion Capital Humano selecciona para cliente BANCA una persona del área de administración bancaria con experiencia en: FUNCIONES: ELABORACION DE PROYECTOS…","Teletrabajo;"
"15","job_96b6c7d13b9dc980","English Teacher","Kids&Us","Posted\nRecién publicado","08110 Montcada i Reixac, Barcelona provincia\n+60 ubicaciones","","Contrato indefinido","","Well organized with good time management skills.\nFlexibility with work hours and availability.\nWe will train you in the use of our teaching method for children…",""
"16","job_3311d3570bbdfbf5","PROFESSOR/A DE LLENGÜA CASTELLANA Substitució immediata","Fundació Jesuïtes Educació","Posted\nRecién publicado","Barcelona, Barcelona provincia","","Jornada completa","","Preparem l’alumnat per ser persones compromeses, conscients, competents i compassives.\nMestres o professors amb inquietud per la innovació pedagògica, disposats…","Máster;"
"17","job_c9694e7a1b8ed804","Business Marketing Teacher","Abbey Road Programs INC","Posted\nRecién publicado","Barcelona, Barcelona provincia","Desde 20 € por hora","Contrato temporal","","Business Marketing Teachers are needed for a high school study abroad program in Barcelona (July 2023)*.\nWe are looking for experienced, hardworking, caring…","Teaching Business Marketing: 1 year;"
"18","job_c744a285916225a5","Photography Teacher","Abbey Road Programs INC","Posted\nRecién publicado","Barcelona, Barcelona provincia","Desde 20 € por hora","Contrato temporal","","Photography Teachers are needed for a high school study abroad program in Barcelona (July 2023)*.\nWe are looking for experienced, hardworking, caring…","Teaching digital photography: 1 year;"
"19","job_084ce806634cd738","ESL Teacher","English Connection","Posted\nRecién publicado","08950 Esplugues de Llobregat, Barcelona provincia","De 11 € a 12 € por hora","Media jornada\n+1","","We are looking for ESL teachers for children, teenagers, adults to work part-time in the afternoons and evenings.\nPart-time hours: 24 per week.",""
"20","job_66f232b7a9185b17","PROFESORES/AS PRUEBAS DE NIVEL","Synergie","Posted\nRecién publicado","Barcelona, Barcelona provincia","","","Turno de mañana","Si eres profesor/a, monitor/a o estás estudiando educación y además, tienes unos días libres en mayo y junio, ¡sigue leyendo!","Incorporación inmediata;"
"21","job_6c7a2a5b4fad2ac4","EARLY CHILDHOOD TEACHER ASSISTANT WITH GERMAN IN MADRID SPAIN","Training Experience","Posted\nRecién publicado","Madrid, Madrid provincia","","Contrato en prácticas","","A person with a teaching vocation who likes to work with children at an early age.\nMotivating and stimulating children's learning abilities, often encouraging…",""
